county,state,total_exp,medical_care_exp,edu_training_exp,exp_per_vet,county_pop,vet_pop,med_patients,state_va_fac,hs_grad_pct,clg_grad_pct,median_income,poverty_pct,unemployment_pct,severe_housing_problems_pct,smokers_pct,obesity_pct,inactive_pct,excess_alcohol_pct,diabetes_pct,food_insecure_pct,age_under18_pct,age_over65_pct,rural_pct
steuben,ny,118076.01286070037,72199.33072070037,1913.936,17.130399998655335,95379,6892.776168097,3398.0,77,91.19984722137451,24.628358840942383,54794.0,12.1,5.0,12.267657993,20.81819654,34.6,26.1,19.826127543,13.7,11.7,21.254154478,20.14175028,60.37074452
suffolk,ny,611040.300779995,336627.1852599951,36855.269,10.51526051253784,1476601,58109.85852908,17794.0,77,90.35367488861084,37.326744079589844,109084.0,6.1,4.6,22.315206507,14.831849246,26.1,21.7,21.153955857,9.2,6.3,20.933075353,17.333118425,2.6011316838
sullivan,ny,33300.77384228956,15199.326842289565,1248.574,7.6240091714752145,75432,4367.882185515,1219.0,77,86.96051788330078,26.555377960205078,63915.0,12.7,4.9,17.828757225,23.991878712,35.8,29.3,18.793190678,11.9,11.4,21.02290805,19.327341181,74.165344888
tioga,ny,23760.10533654075,9771.84933654075,779.257,6.4650097491568355,48203,3675.1847651334997,995.0,77,91.79482746124268,26.090087890625,62400.0,9.3,4.4,11.302825706,21.31714833,32.2,25.0,21.447516473,12.0,9.8,20.627346846,20.940605357,65.658679707
tompkins,ny,27314.485349593182,10640.866349593183,3243.262,6.467270716656026,102180,4223.494971263,1016.0,77,94.48675870895386,53.07911682128906,65308.0,12.4,3.7,20.572014878,16.610546011,23.0,14.6,22.102639253,6.5,10.4,14.65648855,15.100802505,43.343113702
ulster,ny,70127.13116809336,34841.64216809336,2868.314,8.281300159638123,177573,8468.1305853256,2843.0,77,91.16565227508545,33.15428161621094,66060.0,12.7,4.7,19.810508183,18.001976094,29.3,20.4,21.316271288,9.6,10.5,17.426072657,20.376408576,46.040122087
warren,ny,32925.10944984863,10492.888449848626,1467.224,7.4556481852491325,63944,4416.1297088817,1369.0,77,92.09633445739746,32.25578308105469,67359.0,8.9,4.9,14.330275229,20.8282461,30.1,21.7,22.2506592,9.6,10.4,18.114287502,22.948204679,33.929413913
washington,ny,32693.5330827154,13206.049082715403,851.96,7.5815903632323,61204,4312.2262634059,1248.0,77,88.04367256164551,20.163883209228516,60973.0,11.2,4.6,14.71446436,24.539932752,35.0,26.0,21.447034953,13.5,10.5,18.609894778,20.077119143,67.898949633
wayne,ny,51471.809017495034,24001.231017495033,1808.008,8.820898702670544,89918,5835.211439613499,2040.0,77,89.86395645141602,23.715402603149414,62329.0,9.7,4.5,11.659376709,22.831096885,37.3,30.6,18.246012224,13.2,10.1,21.23712716,19.520007118,60.697223052
westchester,ny,257711.60257978368,139955.69715978368,16614.489,9.64409066294971,967506,26722.22935127,6992.0,77,88.61278343200684,49.72738265991211,103340.0,7.6,4.8,23.513595559,12.597320177,21.6,19.4,19.046270948,7.9,7.8,21.734438856,17.41704961,3.2734774468
